"","Label","Area"
"82","Iba1_4_F_2xLPS_STR_NA.tif:NA",1019029.05974983
"83","Iba1_5_M_PBS_FC_ACC.tif:ACC",342438.245680333
"84","Iba1_5_M_PBS_FC_IL.tif:IL",621186.403272049
"85","Iba1_5_M_PBS_FC_PL.tif:PL",478617.560347529
"86","Iba1_5_M_PBS_HC_CA1.tif:CA1",319752.024208117
"87","Iba1_5_M_PBS_HC_CA2.tif:CA2",167682.011663373
"88","Iba1_5_M_PBS_HC_CA3.tif:CA3",310099.452407397
"89","Iba1_5_M_PBS_HC_DG.tif:DG",374588.706515414
"90","Iba1_5_M_PBS_STR_CP.tif:CP",2534501.47571169
"91","Iba1_5_M_PBS_STR_NA.tif:NA",1524481.973796
"92","Iba1_6_M_2xLPS_FC_ACC.tif:ACC",362367.759999454
"93","Iba1_6_M_2xLPS_FC_IL.tif:IL",802616.326658431
"94","Iba1_6_M_2xLPS_FC_PL.tif:PL",709230.511754496
"95","Iba1_6_M_2xLPS_HC_CA1.tif:CA1",1049217.3483257
"96","Iba1_6_M_2xLPS_HC_CA2.tif:CA2",142880.434549319
"97","Iba1_6_M_2xLPS_HC_CA3.tif:CA3",584576.287307023
"98","Iba1_6_M_2xLPS_HC_DG.tif:DG",840552.131990554
"99","Iba1_6_M_2xLPS_STR_CP.tif:CP",3401907.96089019
"100","Iba1_6_M_2xLPS_STR_NA.tif:NA",1953669.98774906
"101","P2ry12_1_F_2xLPS_FC_ACC.tif:ACC",333722.348702945
"102","P2ry12_1_F_2xLPS_FC_IL.tif:IL",589982.59199219
"103","P2ry12_1_F_2xLPS_FC_PL.tif:PL",423037.998007935
"104","P2ry12_1_F_2xLPS_HC_CA1.tif:CA1",1018060.08579467
"105","P2ry12_1_F_2xLPS_HC_CA2.tif:CA2",172580.911236966
"106","P2ry12_1_F_2xLPS_HC_CA3.tif:CA3",634137.1676714
"107","P2ry12_1_F_2xLPS_HC_DG.tif:DG",880254.889829163
"108","P2ry12_1_F_2xLPS_STR_CP.tif:CP",1715812.5310655
"109","P2ry12_1_F_2xLPS_STR_NA.tif:NA",513894.38714973
"110","P2ry12_2_F_PBS_FC_ACC.tif:ACC",555957.356548749
"111","P2ry12_2_F_PBS_FC_IL.tif:IL",695714.512547962
"112","P2ry12_2_F_PBS_FC_PL.tif:PL",506761.978860109
"113","P2ry12_2_F_PBS_HC_CA1.tif:CA1",1101797.9600234
"114","P2ry12_2_F_PBS_HC_CA2.tif:CA2",94719.222813568
"115","P2ry12_2_F_PBS_HC_CA3.tif:CA3",487199.867165657
"116","P2ry12_2_F_PBS_HC_DG.tif:DG",765168.333214524
"117","P2ry12_2_F_PBS_STR_CP.tif:CP",2876107.78125355
"118","P2ry12_2_F_PBS_STR_NA.tif:NA",1732500.73250713
"119","P2ry12_3_F_PBS_FC_ACC.tif:ACC",391970.983051159
"120","P2ry12_3_F_PBS_FC_IL.tif:IL",621521.625511686
"121","P2ry12_3_F_PBS_FC_PL.tif:PL",482924.625828896
"122","P2ry12_3_F_PBS_STR_CP.tif:CP",1901912.52892601
"123","P2ry12_3_F_PBS_STR_NA.tif:NA",723004.666522125
"124","P2ry12_4_F_2xLPS_FC_ACC.tif:ACC",515796.236030367
